name,entry_id,icsd_id,composition_generic,unit_cell,sites
SBr,6831,37020,AB,"[[0.0, -3.548452, -2.637884], [0.0, -3.548452, 2.637884], [-14.085554, 0.0, 0.0]]","['Br @ 0.0543 0.0602 0.163', 'Br @ 0.554 0.56 0.337', 'Br @ 0.44 0.446 0.663', 'Br @ 0.94 0.946 0.837', 'S @ 0.807 0.4 0.0449', 'S @ 0.307 0.9 0.455', 'S @ 0.1 0.693 0.545', 'S @ 0.6 0.193 0.955']"
K2PAu,24435,300201,ABC2,"[[4.936537, -3.729726, 0.0], [4.936537, 3.729726, 0.0], [0.0, 0.0, 6.242965]]","['Au @ 0.5 0.5 0', 'Au @ 0.5 0.5 0.5', 'K @ 0.318 0.0274 0.25', 'K @ 0.973 0.682 0.25', 'K @ 0.0274 0.318 0.75', 'K @ 0.682 0.973 0.75', 'P @ 0.749 0.251 0.25', 'P @ 0.251 0.749 0.75']"
GdSi2Ni,31317,658587,ABC2,"[[0.0, 0.0, 3.989349], [4.033786, 0.0, 0.0], [2.016893, 8.178625, 0.0]]","['Gd @ 0.25 0.894 0.211', 'Gd @ 0.75 0.106 0.789', 'Ni @ 0.75 0.321 0.358', 'Ni @ 0.25 0.679 0.642', 'Si @ 0.75 0.46 0.0806', 'Si @ 0.75 0.75 0.5', 'Si @ 0.25 0.25 0.5', 'Si @ 0.25 0.54 0.919']"
NaTbO2,11524,61683,ABC2,"[[4.608128, 0.0, 0.0], [0.0, 4.608128, 0.0], [-2.304064, -2.304064, 5.165903]]","['Na @ 0.5 0.5 0', 'Na @ 0.75 0.25 0.5', 'O @ 0.0279 0.528 0.0558', 'O @ 0.222 0.222 0.444', 'O @ 0.778 0.778 0.556', 'O @ 0.472 0.972 0.944', 'Tb @ 0 0 0', 'Tb @ 0.25 0.75 0.5']"
MgGeAs2,22478,182368,ABC2,"[[6.023043, 0.0, 0.0], [0.0, 6.023043, 0.0], [-3.011521, -3.011521, 5.637672]]","['As @ 0.398 0.375 0.25', 'As @ 0.852 0.875 0.25', 'As @ 0.625 0.148 0.75', 'As @ 0.125 0.602 0.75', 'Ge @ 0.5 0.5 0', 'Ge @ 0.75 0.25 0.5', 'Mg @ 0 0 0', 'Mg @ 0.25 0.75 0.5']"
Hf2SbP,19738,153679,ABC2,"[[3.80333, 0.0, 0.0], [-1.901665, 3.29376, 0.0], [0.0, 0.0, 13.187316]]","['Hf @ 0.333 0.667 0.102', 'Hf @ 0.333 0.667 0.398', 'Hf @ 0.667 0.333 0.602', 'Hf @ 0.667 0.333 0.898', 'P @ 0 0 0', 'P @ 0 0 0.5', 'Sb @ 0.667 0.333 0.25', 'Sb @ 0.333 0.667 0.75']"
SmSi,31066,652276,AB,"[[8.138077, 0.0, 0.0], [0.0, 3.902333, 0.0], [0.0, 0.0, 5.831957]]","['Si @ 0.464 0.75 0.125', 'Si @ 0.964 0.75 0.375', 'Si @ 0.0364 0.25 0.625', 'Si @ 0.536 0.25 0.875', 'Sm @ 0.18 0.25 0.115', 'Sm @ 0.68 0.25 0.385', 'Sm @ 0.32 0.75 0.615', 'Sm @ 0.82 0.75 0.885']"
AlCuTe2,5589,28735,ABC2,"[[6.097896, 0.0, 0.0], [0.0, 6.097896, 0.0], [-3.048947, -3.048947, 6.038298]]","['Al @ 0.5 0.5 1', 'Al @ 0.75 0.25 0.5', 'Cu @ 0 0 0', 'Cu @ 0.25 0.75 0.5', 'Te @ 0.884 0.875 0.25', 'Te @ 0.366 0.375 0.25', 'Te @ 0.125 0.634 0.75', 'Te @ 0.625 0.116 0.75']"
EuIn2Au,25386,411390,ABC2,"[[4.680518, 0.0, 0.0], [2.340259, 5.503469, 0.0], [0.0, 0.0, 7.618695]]","['Au @ 0.21 0.58 0.25', 'Au @ 0.79 0.42 0.75', 'Eu @ 0.924 0.153 0.25', 'Eu @ 0.0765 0.847 0.75', 'In @ 0.635 0.73 0.051', 'In @ 0.635 0.73 0.449', 'In @ 0.365 0.27 0.551', 'In @ 0.365 0.27 0.949']"
TiCl3,4874,26069,AB3,"[[6.388778, 0.0, 0.0], [-3.194389, 5.532844, 0.0], [0.0, 0.0, 5.660802]]","['Cl @ 0.304 0 0.25', 'Cl @ 3.62e-07 0.304 0.25', 'Cl @ 0.696 0.696 0.25', 'Cl @ 0.696 0 0.75', 'Cl @ 0.304 0.304 0.75', 'Cl @ 2.41e-08 0.696 0.75', 'Ti @ 0 0 0', 'Ti @ 0 0 0.5']"
