name,entry_id,icsd_id,composition_generic,unit_cell,sites,metals,oxstate_label
In3Te4,8488,44655,A3B4,"[[-4.32046, 0.0, 0.0], [2.16023, -3.741628, 0.0], [-2.16023, 1.24721, 13.737975]]","['In @ 0 0 0', 'In @ 0.574 0.426 0.279', 'In @ 0.426 0.574 0.721', 'Te @ 0.291 0.709 0.128', 'Te @ 0.871 0.129 0.387', 'Te @ 0.129 0.871 0.613', 'Te @ 0.709 0.291 0.872']",['In'],{'In': 2.6666666666666665}
K4ZnP2,12259,67261,AB2C4,"[[-2.831171, 4.903732, 0.0], [5.662342, 0.0, 0.0], [2.831171, -1.634577, -8.676936]]","['K @ 0.387 0.613 0.16', 'K @ 0.791 0.209 0.374', 'K @ 0.209 0.791 0.626', 'K @ 0.613 0.387 0.84', 'P @ 0.0852 0.915 0.256', 'P @ 0.915 0.0852 0.744', 'Zn @ 0 0 0']","['K', 'Zn']","{'K': 1.0, 'Zn': 2.0}"
Sr4As2O,6380,33904,AB2C4,"[[4.860649, 0.0, 0.0], [0.0, 4.860649, 0.0], [-2.430324, -2.430324, 8.212516]]","['As @ 0.136 0.136 0.272', 'As @ 0.864 0.864 0.728', 'O @ 0.5 0.5 0', 'Sr @ 0.5 0 0', 'Sr @ 0 0.5 0', 'Sr @ 0.674 0.674 0.349', 'Sr @ 0.326 0.326 0.651']",['Sr'],{'Sr': 2.0}
K2H4Pd,12848,71776,AB2C4,"[[2.891848, 2.891848, 3.766618], [2.891848, -2.891848, -3.766618], [-2.891848, 2.891848, -3.766618]]","['H @ 0.406 0.203 0.203', 'H @ 0 0.797 0.203', 'H @ 0 0.203 0.797', 'H @ 0.594 0.797 0.797', 'K @ 0.5 0.75 0.25', 'K @ 0.5 0.25 0.75', 'Pd @ 0 0 0']","['K', 'Pd']","{'K': 1.0, 'Pd': 2.0}"
K4HgAs2,24746,402573,AB2C4,"[[-5.7798, 0.0, 0.0], [2.8899, -5.005453, 0.0], [-2.8899, 1.668485, 9.396011]]","['As @ 0.91 0.0897 0.269', 'As @ 0.0897 0.91 0.731', 'Hg @ 0 0 0', 'K @ 0.612 0.388 0.164', 'K @ 0.208 0.792 0.375', 'K @ 0.792 0.208 0.625', 'K @ 0.388 0.612 0.836']","['K', 'Hg']","{'K': 1.0, 'Hg': 2.0}"
Ca3Al2Si2,16969,100126,A2B2C3,"[[4.082895, 0.0, 0.0], [0.0, 0.0, 4.532826], [-2.041448, -9.26117, -2.266413]]","['Al @ 0.0686 0.569 0.137', 'Al @ 0.931 0.431 0.863', 'Ca @ 0.5 0 0', 'Ca @ 0.186 0.186 0.372', 'Ca @ 0.814 0.814 0.628', 'Si @ 0.644 0.644 0.289', 'Si @ 0.356 0.356 0.711']","['Ca', 'Al']","{'Ca': 2, 'Al': 3}"
UBC,19070,109207,ABC,"[[0.0, 0.0, 3.275277], [3.624648, 0.0, 0.0], [1.812324, 5.966211, 0.0]]","['B @ 0.75 0.466 0.0685', 'B @ 0.25 0.534 0.931', 'C @ 0.75 0.333 0.333', 'C @ 0.25 0.667 0.667', 'U @ 0.25 0.862 0.276', 'U @ 0.75 0.138 0.724']",['U'],{'U': 6.0}
LiNd2HO3,10223,56746,ABC2D3,"[[-3.476211, 0.0, 0.0], [0.0, -3.681161, 0.0], [1.738105, 1.840581, 6.308584]]","['H @ 0.5 0 0', 'Li @ 0 0 0', 'Nd @ 0.636 0.636 0.271', 'Nd @ 0.364 0.364 0.729', 'O @ 0 0.5 0', 'O @ 0.176 0.176 0.351', 'O @ 0.824 0.824 0.649']","['Li', 'Nd']","{'Li': 1.0, 'Nd': 3.0}"
Sb2Te4Pb,23635,250250,AB2C4,"[[-2.20505, 3.819259, 0.0], [4.4101, 0.0, 0.0], [2.20505, -1.273086, -14.079945]]","['Pb @ 0 0 0', 'Sb @ 0.427 0.573 0.282', 'Sb @ 0.573 0.427 0.718', 'Te @ 0.714 0.286 0.143', 'Te @ 0.133 0.867 0.399', 'Te @ 0.867 0.133 0.601', 'Te @ 0.286 0.714 0.857']",['Pb'],{'Pb': 2.0}
Sr2CuCl2O2,2356,4087,AB2C2D2,"[[-3.968127, 0.0, 0.0], [0.0, -3.968127, 0.0], [1.984063, 1.984063, 7.831278]]","['Cl @ 0.183 0.183 0.367', 'Cl @ 0.817 0.817 0.633', 'Cu @ 0 0 0', 'O @ 0.5 0 0', 'O @ 0 0.5 0', 'Sr @ 0.608 0.608 0.216', 'Sr @ 0.392 0.392 0.784']","['Sr', 'Cu']","{'Sr': 2.0, 'Cu': 2.0}"
K2Sn2O3,3125,15511,A2B2C3,"[[0.0, -3.480642, 4.688475], [3.014324, -1.74032, -4.688475], [3.014324, 1.74032, 4.688475]]","['K @ 0 0 0', 'K @ 0.5 0.5 0.5', 'O @ 1 0.5 1', 'O @ 0.5 1 -7.45e-07', 'O @ -1.78e-07 1 0.5', 'Sn @ 0.245 0.755 0.245', 'Sn @ 0.755 0.245 0.755']","['K', 'Sn']","{'K': 1.0, 'Sn': 2.0}"
KCu4As2,11070,59207,AB2C4,"[[-2.061587, 3.570773, 0.0], [4.123173, 0.0, 0.0], [2.061587, -1.190258, -8.601787]]","['As @ 0.758 0.242 0.274', 'As @ 0.242 0.758 0.726', 'Cu @ 0.445 0.555 0.335', 'Cu @ 0.145 0.855 0.435', 'Cu @ 0.855 0.145 0.565', 'Cu @ 0.555 0.445 0.665', 'K @ 0 0 0']","['K', 'Cu']","{'K': 1.0, 'Cu': 1.25}"
Ni3Sn2S2,31154,654948,A2B2C3,"[[-2.768629, 1.598469, 4.389548], [0.0, 3.196937, -4.389548], [-2.768629, -1.598469, -4.389548]]","['Ni @ 0.5 0.5 1', 'Ni @ 1 0.5 0.5', 'Ni @ 0.5 0 0.5', 'S @ 0.78 0.22 0.22', 'S @ 0.22 0.78 0.78', 'Sn @ 0 0 0', 'Sn @ 0.5 0.5 0.5']","['Ni', 'Sn']","{'Ni': 2, 'Sn': 2}"
CdIn2Se4,19536,151955,AB2C4,"[[5.878608, 0.0, 0.0], [0.0, 5.878608, 0.0], [-2.939304, -2.939304, 6.001064]]","['Cd @ 0.5 0.5 0', 'In @ 0.75 0.25 0.5', 'In @ 0.25 0.75 0.5', 'Se @ 0.339 0.339 0.232', 'Se @ 0.893 0.893 0.232', 'Se @ 0.661 0.107 0.768', 'Se @ 0.107 0.661 0.768']","['Cd', 'In']","{'Cd': 2.0, 'In': 3.0}"
LiZnPS4,16471,95785,ABCD4,"[[5.768618, 0.0, 0.0], [0.0, 5.768618, 0.0], [-2.884309, -2.884309, 4.476385]]","['Li @ 0.5 0.5 0', 'P @ 0.25 0.75 0.5', 'S @ 0.921 0.411 0.269', 'S @ 0.348 0.858 0.269', 'S @ 0.142 0.0787 0.731', 'S @ 0.589 0.652 0.731', 'Zn @ 0 0 0']","['Li', 'Zn']","{'Li': 1.0, 'Zn': 2.0}"
MgAl2Se4,14937,83363,AB2C4,"[[-1.955074, 3.386288, 0.0], [3.910148, 0.0, 0.0], [1.955074, -1.128763, -13.049483]]","['Al @ 0.763 0.237 0.288', 'Al @ 0.237 0.763 0.712', 'Mg @ 0 0 0', 'Se @ 0.703 0.297 0.11', 'Se @ 0.123 0.877 0.37', 'Se @ 0.877 0.123 0.63', 'Se @ 0.297 0.703 0.89']","['Mg', 'Al']","{'Mg': 2.0, 'Al': 3.0}"
K2ZnF4,16993,100298,AB2C4,"[[-4.007186, 0.0, 0.0], [0.0, -4.007186, 0.0], [2.003593, 2.003593, 6.462947]]","['F @ 0.5 0 0', 'F @ 0 0.5 0', 'F @ 0.158 0.158 0.317', 'F @ 0.842 0.842 0.683', 'K @ 0.647 0.647 0.294', 'K @ 0.353 0.353 0.706', 'Zn @ 0 0 0']","['K', 'Zn']","{'K': 1.0, 'Zn': 2.0}"
Cs2PdCl4,16481,95813,AB2C4,"[[7.460619, 0.0, 0.0], [0.0, 7.460619, 0.0], [0.0, 0.0, 4.689793]]","['Cl @ 0.222 0.222 0', 'Cl @ 0.778 0.222 0', 'Cl @ 0.222 0.778 0', 'Cl @ 0.778 0.778 0', 'Cs @ 0.5 0 0.5', 'Cs @ 0 0.5 0.5', 'Pd @ 0 0 0']","['Cs', 'Pd']","{'Cs': 1.0, 'Pd': 2.0}"
Ti3B4,28622,615598,A3B4,"[[0.0, 0.0, -3.036563], [3.255653, 0.0, 0.0], [-1.627827, -6.868456, 1.518281]]","['B @ 0.0644 0.564 0.129', 'B @ 0.632 0.632 0.263', 'B @ 0.368 0.368 0.737', 'B @ 0.936 0.436 0.871', 'Ti @ 0.5 0 0', 'Ti @ 0.186 0.186 0.372', 'Ti @ 0.814 0.814 0.628']",['Ti'],{'Ti': 4.0}
Li2MgBr4,13152,73276,AB2C4,"[[0.0, 0.0, -3.862566], [-3.89135, -5.518556, 0.0], [-3.89135, 5.518556, 0.0]]","['Br @ 0.5 0.24 0.24', 'Br @ 0 0.758 0.242', 'Br @ 0 0.242 0.758', 'Br @ 0.5 0.76 0.76', 'Li @ 0.5 0.5 4.61e-07', 'Li @ 0.5 4.61e-07 0.5', 'Mg @ 0 0 0']","['Li', 'Mg']","{'Li': 1.0, 'Mg': 2.0}"
V3B4,28626,615676,A3B4,"[[0.0, 0.0, -2.972824], [3.031975, 0.0, 0.0], [-1.515987, -6.597839, 1.486412]]","['B @ 0.0656 0.566 0.131', 'B @ 0.636 0.636 0.273', 'B @ 0.364 0.364 0.727', 'B @ 0.934 0.434 0.869', 'V @ 0.5 0 0', 'V @ 0.188 0.188 0.376', 'V @ 0.812 0.812 0.624']",['V'],{'V': 2.0}
Rb2MgF4,12652,69681,AB2C4,"[[-4.00093, 0.0, 0.0], [0.0, -4.00093, 0.0], [2.000465, 2.000465, 6.783813]]","['F @ 0.5 0 0', 'F @ 0 0.5 0', 'F @ 0.147 0.147 0.294', 'F @ 0.853 0.853 0.706', 'Mg @ 0 0 0', 'Rb @ 0.651 0.651 0.302', 'Rb @ 0.349 0.349 0.698']","['Rb', 'Mg']","{'Rb': 1.0, 'Mg': 2.0}"
MgAl2S4,27875,608441,AB2C4,"[[-1.851975, 3.207715, 0.0], [3.70395, 0.0, 0.0], [1.851975, -1.069238, -12.280184]]","['Al @ 0.762 0.238 0.287', 'Al @ 0.236 0.764 0.709', 'Mg @ 0.999 0.00059 0.998', 'S @ 0.704 0.296 0.111', 'S @ 0.122 0.878 0.367', 'S @ 0.877 0.123 0.63', 'S @ 0.295 0.705 0.886']","['Mg', 'Al']","{'Mg': 2.0, 'Al': 3.0}"
Ti4H3,21382,168324,A3B4,"[[4.184292, 0.0, 0.0], [0.0, 4.184292, 0.0], [0.0, 0.0, 4.396659]]","['H @ 0 0 0', 'H @ 0.5 0.5 0', 'H @ 0 0 0.5', 'Ti @ 0.256 0.256 0.263', 'Ti @ 0.744 0.744 0.263', 'Ti @ 0.744 0.256 0.737', 'Ti @ 0.256 0.744 0.737']",['Ti'],{'Ti': 3}
NpAsSe,8263,44037,ABC,"[[3.971733, 0.0, 0.0], [0.0, 3.971733, 0.0], [0.0, 0.0, 8.397326]]","['As @ 0 0 0', 'As @ 0.5 0.5 0', 'Np @ 0 0.5 0.276', 'Np @ 0.5 0 0.724', 'Se @ 0.5 0 0.364', 'Se @ 0 0.5 0.636']",['Np'],{'Np': 5.0}
LiSmCu2P2,29722,628285,ABC2D2,"[[4.006216, -1e-06, -1.4e-05], [-2.003109, 3.469487, 0.0], [-2.3e-05, -1.3e-05, 6.630946]]","['Cu @ 0.667 0.333 0.341', 'Cu @ 0.333 0.667 0.659', 'Li @ 1 1 0.5', 'P @ 0.333 0.667 0.269', 'P @ 0.667 0.333 0.731', 'Sm @ 0 0 0']","['Li', 'Sm', 'Cu']","{'Li': 1.0, 'Sm': 3.0, 'Cu': 1.0}"
K4BeP2,24399,300110,AB2C4,"[[2.791743, -4.83544, 0.0], [2.791743, 4.83544, 0.0], [-2.791743, 1.611814, 8.405656]]","['Be @ 0 0 0', 'K @ 0.753 0.377 0.13', 'K @ 0.583 0.791 0.374', 'K @ 0.417 0.209 0.626', 'K @ 0.247 0.623 0.87', 'P @ 0.158 0.0791 0.237', 'P @ 0.842 0.921 0.763']","['K', 'Be']","{'K': 1.0, 'Be': 2.0}"
Ca2CuCl2O2,1811,1027,AB2C2D2,"[[-3.852996, 0.0, 0.0], [0.0, -3.852996, 0.0], [1.926498, 1.926498, 7.489818]]","['Ca @ 0.604 0.604 0.209', 'Ca @ 0.396 0.396 0.791', 'Cl @ 0.183 0.183 0.365', 'Cl @ 0.817 0.817 0.635', 'Cu @ 0 0 0', 'O @ 0.5 0 0', 'O @ 0 0.5 0']","['Ca', 'Cu']","{'Ca': 2.0, 'Cu': 2.0}"
Ca4As2O,12442,68203,AB2C4,"[[4.54796, 0.0, 0.0], [0.0, 4.54796, 0.0], [-2.27398, -2.27398, 7.71198]]","['As @ 0.137 0.137 0.274', 'As @ 0.863 0.863 0.726', 'Ca @ 0.5 0 0', 'Ca @ 0 0.5 0', 'Ca @ 0.671 0.671 0.342', 'Ca @ 0.329 0.329 0.658', 'O @ 0.5 0.5 0']",['Ca'],{'Ca': 2.0}
Ca2SiO4,7320,40657,AB2C4,"[[-3.562159, 0.0, 0.0], [0.0, -3.562159, 0.0], [1.78108, 1.78108, 5.812787]]","['Ca @ 0.647 0.647 0.294', 'Ca @ 0.353 0.353 0.706', 'O @ 0.5 0 0', 'O @ 0 0.5 0', 'O @ 0.156 0.156 0.313', 'O @ 0.844 0.844 0.687', 'Si @ 0 0 0']",['Ca'],{'Ca': 2.0}
KB6,21172,166487,AB6,"[[4.214855, 0.0, 0.0], [0.0, 4.214855, 0.0], [0.0, 0.0, 4.214855]]","['B @ 0.5 0.5 0.199', 'B @ 0.5 0.199 0.5', 'B @ 0.199 0.5 0.5', 'B @ 0.801 0.5 0.5', 'B @ 0.5 0.801 0.5', 'B @ 0.5 0.5 0.801', 'K @ 0 0 0']",['K'],{'K': 1}
Tl2PdCl4,15805,89601,AB2C4,"[[7.178178, 0.0, 0.0], [0.0, 7.178178, 0.0], [0.0, 0.0, 4.233844]]","['Cl @ 0.229 0.229 0', 'Cl @ 0.771 0.229 0', 'Cl @ 0.229 0.771 0', 'Cl @ 0.771 0.771 0', 'Pd @ 0 0 0', 'Tl @ 0.5 0 0.5', 'Tl @ 0 0.5 0.5']","['Tl', 'Pd']","{'Tl': 1.0, 'Pd': 2.0}"
YClO,11332,60585,ABC,"[[-1.901481, 3.293462, 0.0], [-1.901481, -3.293462, 0.0], [-1.901481, 1.09782, 9.377784]]","['Cl @ 0.775 0.887 0.338', 'Cl @ 0.225 0.113 0.662', 'O @ 0.273 0.636 0.0909', 'O @ 0.727 0.364 0.909', 'Y @ 0.565 0.282 0.153', 'Y @ 0.435 0.718 0.847']",['Y'],{'Y': 3.0}
Cu2WS4,12986,72529,AB2C4,"[[5.435058, 0.0, 0.0], [0.0, 5.435058, 0.0], [0.0, 0.0, 5.306593]]","['Cu @ 0.5 0 0', 'Cu @ 0 0.5 0', 'S @ 0.237 0.237 0.245', 'S @ 0.763 0.763 0.245', 'S @ 0.763 0.237 0.755', 'S @ 0.237 0.763 0.755', 'W @ 0 0 0']","['Cu', 'W']","{'Cu': 1.0, 'W': 6.0}"
Mn3B4,8415,44446,A3B4,"[[0.0, 0.0, -2.953476], [2.971375, 0.0, 0.0], [-1.485687, -6.385108, 1.476738]]","['B @ 0.0672 0.567 0.134', 'B @ 0.642 0.642 0.285', 'B @ 0.358 0.358 0.715', 'B @ 0.933 0.433 0.866', 'Mn @ 0.5 0 0', 'Mn @ 0.187 0.187 0.373', 'Mn @ 0.813 0.813 0.627']",['Mn'],{'Mn': 2.0}
Ce2SeF4,4026,21011,AB2C4,"[[-4.134646, 0.0, 0.0], [2.067323, -3.580708, 0.0], [-2.067323, 1.19357, 7.619048]]","['Ce @ 0.244 0.756 0.269', 'Ce @ 0.756 0.244 0.731', 'F @ 0.57 0.43 0.291', 'F @ 0.862 0.138 0.415', 'F @ 0.138 0.862 0.585', 'F @ 0.43 0.57 0.709', 'Se @ 0 0 0']",['Ce'],{'Ce': 3.0}
Yb4As2O,24767,402951,AB2C4,"[[0.0, -4.505803, 0.0], [-4.505803, 0.0, 0.0], [2.252902, 2.252902, -7.634244]]","['As @ 0.637 0.637 0.274', 'As @ 0.363 0.363 0.726', 'O @ 0 0 0', 'Yb @ 0.5 0 0', 'Yb @ 0 0.5 0', 'Yb @ 0.169 0.169 0.338', 'Yb @ 0.831 0.831 0.662']",['Yb'],{'Yb': 2.0}
Tb2B2C3,26727,419476,A2B2C3,"[[3.3879, 0.0, 0.0], [0.0, 0.0, 3.693616], [1.69395, -6.64146, 0.0]]","['B @ 0.283 0.5 0.434', 'B @ 0.717 0.5 0.566', 'C @ 0.5 0.5 0', 'C @ 0.399 0.5 0.201', 'C @ 0.601 0.5 0.799', 'Tb @ 0.863 0 0.274', 'Tb @ 0.137 0 0.726']",['Tb'],{'Tb': 3.0}
K4CdP2,11415,61084,AB2C4,"[[0.0, -5.679751, 0.0], [4.918646, 2.839876, 1.6e-05], [-3.273913, 0.0, 9.062185]]","['Cd @ 1 1 0.5', 'K @ 0.208 0.416 0.124', 'K @ 0.607 0.215 0.323', 'K @ 0.393 0.785 0.677', 'K @ 0.792 0.584 0.876', 'P @ 0.911 0.822 0.233', 'P @ 0.0892 0.178 0.767']","['K', 'Cd']","{'K': 1.0, 'Cd': 2.0}"
Ga2HgS4,4814,25643,AB2C4,"[[-5.575023, 0.0, 0.0], [0.0, -5.575023, 0.0], [2.787511, 2.787511, 5.187846]]","['Ga @ 0.5 0.5 0', 'Ga @ 0.25 0.75 0.5', 'Hg @ 0 0 0', 'S @ 0.413 0.409 0.277', 'S @ 0.865 0.869 0.277', 'S @ 0.591 0.135 0.723', 'S @ 0.131 0.587 0.723']","['Ga', 'Hg']","{'Ga': 3.0, 'Hg': 2.0}"
