name,entry_id,icsd_id,composition_generic,unit_cell,sites,metals,oxstate_label
PtO,5057,26599,AB,"[[3.110392, 0.0, 0.0], [0.0, 3.110392, 0.0], [0.0, 0.0, 5.398026]]","['O @ 0 0 0.25', 'O @ 0 0 0.75', 'Pt @ 0.5 0 0', 'Pt @ 0 0.5 0.5']",['Pt'],"{'Pt': 2, 'O': -2}"
LaI2,12908,72191,AB2,"[[-3.949743, 0.0, 0.0], [0.0, -3.949743, 0.0], [1.974872, 1.974872, 7.48891]]","['I @ 0.627 0.627 0.253', 'I @ 0.373 0.373 0.747', 'La @ 0 0 0']",['La'],"{'La': 2, 'I': -1}"
AgTe3,6868,37186,AB3,"[[0.0, 0.0, -5.293086], [-4.33836, 2.504754, 1.764362], [4.33836, 2.504754, 1.764362]]","['Ag @ 1 0 0', 'Te @ 0.492 0.499 0', 'Te @ 0.492 0 0.499', 'Te @ 0.993 0.501 0.501']",['Ag'],"{'Ag': 6, 'Te': -2}"
AgAsSe2,3801,20087,ABC2,"[[1.954507, -3.385305, 0.0], [-1.954507, -3.385305, 0.0], [0.0, 2.25687, -6.5856]]","['Ag @ 0.5 0.5 0.5', 'As @ 0 0 0', 'Se @ 0.745 0.745 0.236', 'Se @ 0.255 0.255 0.764']",['Ag'],"{'Ag': 7, 'As': -3, 'Se': -2}"
UO3,5086,26673,AB3,"[[4.158319, 0.0, 0.0], [0.0, 4.158319, 0.0], [0.0, 0.0, 4.158319]]","['O @ 0.5 0 0', 'O @ 0 0.5 0', 'O @ 0 0 0.5', 'U @ 0 0 0']",['U'],"{'U': 6, 'O': -2}"
SbIr,8426,44481,AB,"[[4.040527, 0.0, 0.0], [-2.020264, 3.499411, 0.0], [0.0, 0.0, 5.59011]]","['Ir @ 0 0 0', 'Ir @ 0 0 0.5', 'Sb @ 0.333 0.667 0.25', 'Sb @ 0.667 0.333 0.75']",['Ir'],"{'Ir': 3, 'Sb': -3}"
MgSe,31333,658986,AB,"[[4.238045, 0.0, 0.0], [-2.119023, 3.669938, 0.0], [0.0, 0.0, 6.85272]]","['Mg @ 0.333 0.667 0.999', 'Mg @ 0.667 0.333 0.499', 'Se @ 0.333 0.667 0.376', 'Se @ 0.667 0.333 0.876']",['Mg'],"{'Mg': 2, 'Se': -2}"
CrH,13826,76745,AB,"[[2.7475, 0.0, 0.0], [-1.37375, 2.379216, 0.0], [0.0, 0.0, 4.472605]]","['Cr @ 0.333 0.667 0.000461', 'Cr @ 0.667 0.333 0.5', 'H @ 0.333 0.667 0.375', 'H @ 0.667 0.333 0.875']",['Cr'],"{'Cr': -1, 'H': 1}"
MnTe,8116,43541,AB,"[[4.194397, 0.0, 0.0], [-2.097199, 3.632567, 0.0], [0.0, 1e-06, 5.923719]]","['Mn @ 0 0 0', 'Mn @ 0 0 0.5', 'Te @ 0.333 0.667 0.25', 'Te @ 0.667 0.333 0.75']",['Mn'],"{'Mn': 2, 'Te': -2}"
AgBr,10185,56549,AB,"[[4.0039, 0.0, -0.019308], [0.0, 4.111803, 0.0], [-0.62117, 0.0, 5.716999]]","['Ag @ 0.18 0.25 0.205', 'Ag @ 0.82 0.75 0.795', 'Br @ 0.703 0.75 0.271', 'Br @ 0.297 0.25 0.729']",['Ag'],"{'Ag': 1, 'Br': -1}"
